8.303861560334246050e+00,7.101745909164793424e+00,1.000000000000000000e+01,5.817137024556574332e+00,9.734777152066589778e+00,7.423380879785512754e+00,8.579013097120688158e+00,1.000000000000000000e+01,5.967978461891211950e+00,5.684648010434528942e+00
1.537362615507001351e+01,3.388014351312274641e+01,6.178416146909074769e+01,5.778151787063992373e+01,3.402507335414355083e+01,3.336724882254205937e+01,2.308138136254235917e+01,4.463650054319823823e+01,5.275213977065484983e+01,6.087873046269768196e+01
9.589360233467778016e+01,5.629106282655313009e+01,5.138932091802993085e+01,3.605099859083848912e+01,9.862716790019852908e+01,4.860569343781507712e+01,9.757485709687095721e+01,9.712030220142267467e+01,7.702215507543562012e+01,6.033513479667880830e+01
5.995891819028927472e+01,6.484026683015440540e+01,9.297722627347381774e+01,8.643439720149250149e+01,4.782688090137740033e+01,7.724522876414589234e+01,7.173112887128215220e+01,7.375433556770107657e+01,5.119834971951900116e+01,4.808686291145939862e+01
1.516638296279355203e+01,5.593368477516924564e-01,1.714030983858133439e+01,6.570353491259710665e+01,2.293743906235685159e+01,6.376524389313878771e+00,1.231071241100231894e+01,2.605981175168101771e+01,4.145232151987784164e+01,7.498396680134783665e+00
6.104683876280172683e+01,1.716942432410703390e+01,2.571240603736897512e+01,3.030531281521649412e+00,6.032344443055234962e+01,1.093880006761649959e+01,4.970082019520498307e+01,2.796714211963215391e+01,8.403148871750420312e+01,3.919637471963478248e+01
9.098629715523382799e+01,5.081606789882103214e+01,6.871457398827006102e+01,1.628894181295702026e+01,1.912227378110637588e+01,5.963663029562085427e+01,5.976318860893038476e+01,6.736093405411602930e+01,2.442001055932487219e+01,2.004333618832679420e+01
2.643984664481412139e+01,3.480990816358751516e+01,3.795474053654308477e+01,2.882174290532068284e+01,8.355248476259910717e+01,5.211871882205743134e+01,9.797236603781115605e+01,8.724770268864898526e+01,8.387045046927791248e+01,9.696429769424180733e+01
3.189587393867324749e+01,5.736571363893271069e+01,9.732884482086960531e+01,9.515030036217113718e+01,5.476694159174864751e+01,8.027547147641764980e+01,9.543221392615254217e+01,8.128646531794022678e+01,8.133220720908393275e+01,6.969735754728806398e+01
2.170936060835957804e+00,2.063259405588642181e+01,4.680143175783938858e+01,1.495457215869761036e+01,1.195337003538961218e+00,5.775092724434607305e+01,2.820489079986537462e+01,8.712426117608347909e+01,1.011013666837021319e+01,8.975096333719728037e+00
4.710452900085626005e-01,4.160541658237693241e+01,3.588191048020944862e+01,2.311557348242422449e+01,9.837521300228071652e+01,8.823568014191073061e+00,5.378802742439952311e+01,4.518715825298923683e+00,3.085788624824520099e+00,4.220318528459408469e+00
